school,district_id,district_name,emh,school_id,school_grade,rank,read_achievement,math_achievement,write_achievement,science_achievement,overall_weighted_growth,read_growth,math_growth,write_growth,graduation_rate
CRESTHILL MIDDLE SCHOOL,900,DOUGLAS COUNTY RE 1,M,2012,7,505,9,7,9,9,6,6,7,6,
FRONTIER VALLEY ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,3241,7,505,9,9,8,8,6,6,7,6,
KIOWA MIDDLE SCHOOL,930,KIOWA C-2,M,4726,7,505,8,6,7,8,7,6,6,10,
BEAR CREEK ELEMENTARY SCHOOL,1080,LEWIS-PALMER 38,E,3539,7,505,9,10,8,9,6,9,6,6,
KING ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,5604,7,511,9,10,10,8,7,6,6,8,
PIONEER CHARTER SCHOOL,880,DENVER COUNTY 1,E,6957,7,511,3,6,5,2,11,9,9,12,
LEGACY POINT ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,5045,7,511,8,7,8,7,7,7,6,7,
MERIDIAN RANCH ELEMENTARY SCHOOL,1110,FALCON 49,E,5779,7,511,7,9,8,7,6,7,6,6,
TAVELLI ELEMENTARY SCHOOL,1550,POUDRE R-1,E,8460,7,511,8,9,9,6,6,9,6,5,
BLUE MOUNTAIN ELEMENTARY,470,ST VRAIN VALLEY RE 1J,E,878,7,511,10,12,10,10,6,7,6,7,
GLACIER PEAK ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,14,7,517,6,7,6,6,7,7,6,7,
EASTRIDGE COMMUNITY ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,2428,7,517,5,6,5,5,8,6,9,8,
WALNUT HILLS COMMUNITY ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,9200,7,517,9,9,7,12,7,9,6,6,
EDISON ELEMENTARY SCHOOL,1120,EDISON 54 JT,E,2514,7,517,9,12,10,7,7,7,7,6,
DUTCH CREEK ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,2322,7,521,6,6,6,8,9,7,9,9,
COTTON CREEK ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,1914,7,522,6,9,6,7,6,6,6,7,
VINELAND ELEMENTARY SCHOOL,2700,PUEBLO COUNTY 70,E,9130,7,522,6,9,6,9,7,6,6,8,
THE PINNACLE CHARTER SCHOOL MIDDLE,8001,CHARTER SCHOOL INSTITUTE,M,6913,7,524,6,5,6,5,9,10,7,8,
SOUTH STREET ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,8126,7,524,6,6,6,6,9,9,9,7,
MONFORT ELEMENTARY SCHOOL,3120,GREELEY 6,E,5985,7,524,7,8,7,6,6,6,8,6,
STOBER ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,8276,7,524,9,6,7,9,7,9,6,8,
MC CLAVE ELEMENTARY SCHOOL,310,MC CLAVE RE-2,E,5666,7,524,6,6,6,6,9,7,9,7,
EAST MIDDLE SCHOOL,2000,MESA COUNTY VALLEY 51,M,2392,7,524,8,6,8,8,9,8,9,8,
THUNDER MOUNTAIN ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,8846,7,524,6,7,6,7,6,6,6,7,
SKYVIEW ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,2578,7,531,6,9,6,7,9,8,7,9,
NEDERLAND ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,6208,7,531,9,6,6,6,7,6,7,8,
CALHAN MIDDLE SCHOOL,970,CALHAN RJ-1,M,1215,7,531,6,6,7,9,7,6,7,8,
ROCK RIDGE ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,2232,7,531,7,9,7,6,6,6,6,6,
ODYSSEY ELEMENTARY SCHOOL,1110,FALCON 49,E,6483,7,531,6,8,7,7,6,8,6,6,
WOODMEN HILLS ELEMENTARY SCHOOL,1110,FALCON 49,E,9706,7,531,9,9,9,9,6,6,6,6,
LIMON ELEMENTARY SCHOOL,1790,LIMON RE-4J,E,5132,7,531,7,9,8,8,6,5,7,6,
BROADWAY ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,1046,7,531,7,7,6,8,6,7,6,6,
HIGH PLAINS ELEMENTARY SCHOOL,1040,ACADEMY 20,E,3985,7,539,7,7,7,9,6,6,6,6,
EDISON ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,2510,7,539,5,6,5,5,9,9,7,11,
CASTLE ROCK ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,1362,7,539,9,9,8,7,7,8,7,6,
RIDGEVIEW ELEMENTARY SCHOOL,1110,FALCON 49,E,7339,7,539,6,7,6,6,6,7,6,6,
PALMER LAKE ELEMENTARY SCHOOL,1080,LEWIS-PALMER 38,E,6682,7,539,9,10,9,9,9,7,8,8,
BROWN ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,1076,7,544,5,6,5,3,9,6,7,12,
LANSING ELEMENTARY SCHOOL,180,ADAMS-ARAPAHOE 28J,E,4970,7,545,3,5,5,3,12,9,12,10,
BURLINGTON ELEMENTARY SCHOOL,1500,BURLINGTON RE-6J,E,1144,7,545,6,9,6,,6,3,9,5,
RENAISSANCE EXPEDITION LEARN OUTWARD BOUND SCHOOL,900,DOUGLAS COUNTY RE 1,E,7319,7,545,10,9,9,9,7,6,6,8,
NEEDHAM ELEMENTARY SCHOOL,1520,DURANGO 9-R,E,6222,7,545,7,8,6,8,6,6,6,7,
LEAWOOD ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,5036,7,545,9,7,8,8,7,7,6,6,
SHERIDAN GREEN ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,4478,7,545,6,8,6,8,8,9,7,6,
MOODY ELEMENTARY SCHOOL,140,LITTLETON 6,E,8064,7,545,8,7,6,6,7,9,6,6,
IRISH ELEMENTARY SCHOOL,1550,POUDRE R-1,E,4282,7,545,5,6,5,5,9,9,6,9,
WELLINGTON MIDDLE SCHOOL,1550,POUDRE R-1,M,9374,7,545,6,6,7,8,7,7,7,6,
TRAILS WEST ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,8887,7,554,7,9,8,6,6,6,6,8,
HOTCHKISS ELEMENTARY SCHOOL,870,DELTA COUNTY 50(J),E,4124,7,554,8,10,7,9,9,9,9,9,
HOTCHKISS ELEMENTARY SCHOOL,870,DELTA COUNTY 50(J),M,4124,7,554,8,6,8,7,6,5,6,6,
SKYVIEW MIDDLE SCHOOL,1110,FALCON 49,M,7960,7,554,6,6,7,6,6,5,9,6,
SWALLOWS CHARTER ACADEMY,2700,PUEBLO COUNTY 70,E,8420,7,558,8,9,7,8,6,7,7,5,
PARKVIEW ELEMENTARY SCHOOL,2720,RANGELY RE-4,E,7268,7,558,6,6,6,7,7,6,9,6,
LEGACY ACADEMY,920,ELIZABETH C-1,E,2572,7,560,9,12,8,6,6,3,6,6,
CRESTED BUTTE COMMUNITY SCHOOL,1360,GUNNISON WATERSHED RE1J,E,2006,7,560,10,9,9,8,6,6,5,6,
WEST JEFFERSON ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,9424,7,560,10,10,10,10,6,7,5,5,
JANITELL JUNIOR HIGH SCHOOL,990,WIDEFIELD 3,M,4394,7,560,6,6,6,6,6,6,9,6,
SIMLA ELEMENTARY SCHOOL,940,BIG SANDY 100J,E,7914,7,565,8,9,7,7,6,6,7,6,
JENKINS MIDDLE SCHOOL,1010,COLORADO SPRINGS 11,M,4424,7,565,9,7,9,9,6,7,6,6,
GARNET MESA ELEMENTARY SCHOOL,870,DELTA COUNTY 50(J),E,3330,7,565,6,9,7,6,7,7,6,6,
KENDALLVUE ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,4549,7,565,9,7,9,9,6,7,6,6,
GODDARD MIDDLE SCHOOL,140,LITTLETON 6,M,3472,7,565,6,6,7,7,6,6,8,6,
SILVERTHORNE ELEMENTARY SCHOOL,3000,SUMMIT RE-1,E,8376,7,565,5,7,6,5,8,6,9,8,
NEW VISION CHARTER SCHOOL,1560,THOMPSON R-2J,E,6220,7,565,6,8,6,6,6,6,7,6,
TURNER MIDDLE SCHOOL,1560,THOMPSON R-2J,M,8925,7,565,9,7,9,9,6,3,10,6,
WOODLAND PARK MIDDLE SCHOOL,3020,WOODLAND PARK RE-2,M,9694,7,565,7,6,8,9,7,6,7,6,
HERITAGE ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,3924,7,574,8,10,9,6,6,9,6,6,
WHITTIER ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,9544,7,575,6,9,6,9,9,9,7,8,
POLTON COMMUNITY ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,7102,7,575,7,8,7,6,6,6,6,6,
DEANE ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,8090,7,575,6,6,6,5,7,9,7,6,
EAGLE CREST ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,2343,7,575,9,10,9,7,6,7,6,7,
NEDERLAND MIDDLE-SENIOR HIGH SCHOOL,480,BOULDER VALLEY RE 2,M,6212,7,579,9,6,9,9,6,6,7,6,
REMINGTON ELEMENTARY SCHOOL,1110,FALCON 49,E,7317,7,579,6,7,6,7,6,6,6,6,
GARFIELD ELEMENTARY SCHOOL,1560,THOMPSON R-2J,E,3320,7,579,6,9,7,9,6,5,7,6,
PIONEER ELEMENTARY SCHOOL,1040,ACADEMY 20,E,6960,7,582,6,8,6,8,6,6,7,6,
PEAK TO PEAK CHARTER SCHOOL,480,BOULDER VALLEY RE 2,M,6816,7,582,12,8,11,10,5,5,5,6,
ROGERS ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,9618,7,582,5,5,5,3,9,9,8,9,
BRYANT WEBSTER K-8 SCHOOL,880,DENVER COUNTY 1,E,1106,7,582,4,3,5,5,9,12,6,7,
BRYANT WEBSTER K-8 SCHOOL,880,DENVER COUNTY 1,M,1106,7,582,5,3,6,6,9,10,7,9,
EDISON JUNIOR-SENIOR HIGH SCHOOL,1120,EDISON 54 JT,M,2526,7,582,10,7,9,7,6,9,6,6,
CLIFTON ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,1686,7,582,5,5,2,3,10,12,10,6,
BEATTIE ELEMENTARY SCHOOL,1550,POUDRE R-1,E,678,7,582,9,9,9,6,7,7,7,6,
ASPEN MIDDLE SCHOOL,2640,ASPEN 1,E,430,7,590,9,11,9,11,6,5,6,6,
LONE TREE ELEMENTARY,900,DOUGLAS COUNTY RE 1,E,5843,7,590,9,8,7,6,6,6,6,6,
ROONEY RANCH ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,7483,7,590,9,10,9,10,6,6,6,5,
BELL MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,M,694,7,593,7,6,7,9,6,7,7,6,
BLUE HERON ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,951,7,593,8,9,9,6,6,6,6,6,
JOHNSON ELEMENTARY SCHOOL,1550,POUDRE R-1,E,4456,7,593,9,9,7,6,6,7,6,6,
LEO WILLIAM BUTLER ELEMENTARY SCHOOL,3140,WELD COUNTY S/D RE-8,E,5050,7,596,5,6,6,6,10,9,12,7,
FIRESIDE ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,2940,7,597,9,9,9,10,6,6,6,6,
SINGING HILLS ELEMENTARY SCHOOL,920,ELIZABETH C-1,E,7925,7,597,6,8,6,7,6,7,7,6,
OBERON JUNIOR HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,M,6470,7,597,8,6,9,9,6,5,9,6,
HIGHLAND ELEMENTARY SCHOOL,140,LITTLETON 6,E,3950,7,597,9,9,9,7,6,6,6,6,
TWAIN ELEMENTARY SCHOOL,140,LITTLETON 6,E,5574,7,597,9,9,8,9,7,6,7,8,
DEER CREEK ELEMENTARY SCHOOL,2600,PLATTE CANYON 1,E,7042,7,597,10,10,10,10,6,7,4,6,
STANSBERRY ELEMENTARY SCHOOL,1560,THOMPSON R-2J,E,7650,7,597,8,9,7,9,6,5,6,6,
WEST RIDGE ELEMENTARY,40,BRIGHTON 27J,E,9426,7,604,6,7,6,6,6,7,6,6,
BRUSH MIDDLE SCHOOL,2395,BRUSH RE-2(J),M,1094,7,604,6,5,6,6,8,7,8,8,
DOULL ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,2258,7,604,3,4,4,2,9,12,7,8,
COMPASS MONTESSORI - GOLDEN CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,E,1880,7,604,7,6,5,,2,6,2,1,
COMPASS MONTESSORI - GOLDEN CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,M,1880,7,604,6,2,6,6,6,6,6,6,
PRAIRIE RIDGE ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,7157,7,604,6,8,6,6,7,7,8,6,
MILLIKEN MIDDLE SCHOOL,3110,JOHNSTOWN-MILLIKEN RE-5J,M,5902,7,610,6,6,6,6,7,6,7,6,
WEST GRAND ELEMENTARY SCHOOL,1340,WEST GRAND 1-JT.,E,9416,7,610,7,8,7,6,6,6,7,5,
WOODMEN-ROBERTS ELEMENTARY SCHOOL,1040,ACADEMY 20,E,9714,7,612,10,10,10,9,7,6,6,7,
LAFAYETTE ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,4874,7,612,7,8,7,9,6,6,7,7,
DAKOTA VALLEY ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,2094,7,612,7,8,6,6,6,6,6,6,
PROSPECT VALLEY ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,7190,7,612,9,9,9,9,6,7,6,6,
MANCOS MIDDLE SCHOOL,2070,MANCOS RE-6,M,5450,7,612,6,6,6,9,7,3,10,6,
SUNRISE ELEMENTARY SCHOOL,990,WIDEFIELD 3,E,8392,7,612,7,8,9,6,6,7,6,7,
COLUMBIA MIDDLE SCHOOL,180,ADAMS-ARAPAHOE 28J,M,1800,7,618,5,6,6,6,9,9,9,8,
BELLE CREEK CHARTER SCHOOL,40,BRIGHTON 27J,E,700,7,618,6,6,6,6,7,6,9,7,
CHEYENNE MOUNTAIN JUNIOR HIGH SCHOOL,1020,CHEYENNE MOUNTAIN 12,M,1588,7,618,9,7,12,9,6,3,6,7,
RED HILL ELEMENTARY SCHOOL,910,EAGLE COUNTY RE 50,E,37,7,618,6,7,6,6,8,9,6,9,
TURMAN ELEMENTARY SCHOOL,980,HARRISON 2,E,8923,7,618,5,7,6,4,9,7,12,6,
SUNRISE ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,8394,7,623,6,7,6,6,7,8,7,6,
SKYWAY PARK ELEMENTARY SCHOOL,1020,CHEYENNE MOUNTAIN 12,E,1604,7,623,9,8,9,8,6,6,5,8,
KIPP SUNSHINE PEAK ACADEMY,880,DENVER COUNTY 1,E,4732,7,623,3,5,5,6,9,8,6,10,
KIPP SUNSHINE PEAK ACADEMY,880,DENVER COUNTY 1,M,4732,7,623,5,3,6,6,12,11,12,12,
CARMODY MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,M,1318,7,623,6,6,7,7,7,6,8,6,
WINONA ELEMENTARY SCHOOL,1560,THOMPSON R-2J,E,9674,7,623,6,6,5,3,9,9,12,6,
RIVERDALE ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,2584,7,629,6,7,6,6,7,5,7,8,
MURPHY CREEK K-8 SCHOOL,180,ADAMS-ARAPAHOE 28J,E,6189,7,629,6,6,6,6,7,6,9,6,
MURPHY CREEK K-8 SCHOOL,180,ADAMS-ARAPAHOE 28J,M,6189,7,629,6,6,6,6,9,9,9,6,
BRIGGSDALE UNDIVIDED HIGH SCHOOL,3146,BRIGGSDALE RE-10,M,1012,7,629,7,6,9,10,6,7,6,5,
CREEDE JUNIOR-SENIOR HIGH SCHOOL,2010,CREEDE SCHOOL DISTRICT,M,1966,7,629,7,6,8,6,3,3,1,6,
LINCOLN ELEMENTARY SCHOOL,870,DELTA COUNTY 50(J),E,5154,7,629,6,9,7,6,6,6,7,6,
EXPLORE ELEMENTARY,10,MAPLETON 1,E,506,7,629,5,5,3,2,9,10,9,7,
VAN BUREN ELEMENTARY SCHOOL,1560,THOMPSON R-2J,E,9055,7,629,6,7,6,9,6,9,6,6,
NORTHGLENN MIDDLE SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,M,6398,7,637,6,5,6,6,9,12,6,9,
RUDY ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,7513,7,637,9,10,10,8,6,8,7,2,
HEIMAN ELEMENTARY SCHOOL,3120,GREELEY 6,E,52,7,637,6,6,6,6,7,6,9,6,
LA VETA ELEMENTARY SCHOOL,1400,LA VETA RE-2,E,4860,7,637,9,9,10,9,5,6,3,5,
PAONIA HIGH SCHOOL,870,DELTA COUNTY 50(J),M,6708,7,641,7,6,9,9,3,5,2,5,
BATES ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,594,7,642,8,9,9,8,6,6,5,6,
EUCLID MIDDLE SCHOOL,140,LITTLETON 6,M,2804,7,642,9,6,9,8,6,7,6,7,
CENTENNIAL MIDDLE SCHOOL,480,BOULDER VALLEY RE 2,M,1390,7,644,9,7,10,9,7,7,7,7,
PONDEROSA ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,7116,7,644,6,6,5,6,9,9,7,9,
FREMONT ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,3218,7,644,7,8,7,9,6,6,6,5,
ARCHULETA ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,3340,7,644,4,6,5,6,8,6,9,6,
COWELL ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,1928,7,644,1,5,1,1,12,12,11,10,
LA JUNTA INTERMEDIATE SCHOOL,2520,EAST OTERO R-1,E,4841,7,644,5,6,6,4,8,7,7,9,
CARLILE ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,1304,7,644,9,9,7,6,6,6,6,8,
MARY E PENNOCK ELEMENTARY SCHOOL,40,BRIGHTON 27J,E,5615,6,651,6,7,7,6,6,6,7,6,
THUNDER RIDGE MIDDLE SCHOOL,130,CHERRY CREEK 5,M,8848,6,651,7,6,9,9,6,7,6,8,
HAMILTON MIDDLE SCHOOL,880,DENVER COUNTY 1,M,3746,6,651,7,6,9,7,7,9,6,8,
FREMONT ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,3216,6,651,6,6,6,6,8,8,8,6,
WEBSTER ELEMENTARY SCHOOL,990,WIDEFIELD 3,E,9334,6,651,6,7,7,6,7,6,7,7,
JAMES IRWIN CHARTER MIDDLE SCHOOL,980,HARRISON 2,M,4379,6,656,9,9,9,6,6,2,7,6,
CASEY MIDDLE SCHOOL,480,BOULDER VALLEY RE 2,M,1352,6,657,6,6,6,6,9,9,8,9,
COAL CREEK ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,1725,6,657,12,10,9,9,5,3,4,6,
HOLM ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,4074,6,657,5,6,5,6,9,9,8,8,
BERRY CREEK MIDDLE SCHOOL,910,EAGLE COUNTY RE 50,M,793,6,657,5,5,5,5,9,10,10,6,
FALCON MIDDLE SCHOOL,1110,FALCON 49,M,2906,6,657,7,6,8,6,6,5,7,6,
ORCHARD MESA MIDDLE SCHOOL,2000,MESA COUNTY VALLEY 51,M,6562,6,657,6,5,6,6,9,8,9,8,
OLANDER ELEMENTARY SCHOOL,1550,POUDRE R-1,E,6482,6,657,6,7,7,6,6,7,6,6,
GOODNIGHT ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,1504,6,657,7,9,7,6,6,5,6,6,
WIGGINS MIDDLE SCHOOL,2515,WIGGINS RE-50(J),M,9263,6,657,7,6,9,5,7,7,6,9,
FITZMORRIS ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,2946,6,666,6,6,6,5,9,8,9,8,
SLATER ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,7962,6,666,6,6,5,6,7,6,9,6,
DUAL IMMERSION ACADEMY SCHOOL,2000,MESA COUNTY VALLEY 51,E,2297,6,668,5,6,5,5,6,10,5,7,
MESA VALLEY VISION HOME AND COMMUNITY PROGRAM,2000,MESA COUNTY VALLEY 51,E,5828,6,668,6,6,5,6,6,6,6,6,
MESA VALLEY VISION HOME AND COMMUNITY PROGRAM,2000,MESA COUNTY VALLEY 51,M,5828,6,668,9,5,6,7,6,9,5,9,
MOUNTAIN RIDGE MIDDLE SCHOOL,900,DOUGLAS COUNTY RE 1,M,6164,6,671,10,8,10,9,6,6,6,4,
WEST MIDDLE SCHOOL,2000,MESA COUNTY VALLEY 51,M,9406,6,671,6,6,6,6,6,6,9,6,
WALT CLARK MIDDLE SCHOOL,1560,THOMPSON R-2J,M,9228,6,671,6,6,7,8,6,6,8,6,
ROCKY MOUNTAIN ACADEMY OF EVERGREEN,1420,JEFFERSON COUNTY R-1,E,7462,6,674,12,12,11,12,5,5,5,5,
ROCKY MOUNTAIN ACADEMY OF EVERGREEN,1420,JEFFERSON COUNTY R-1,M,7462,6,674,10,7,10,12,6,6,3,7,
YORK INTERNATIONAL,10,MAPLETON 1,E,503,6,674,7,9,6,7,6,6,6,5,
YORK INTERNATIONAL,10,MAPLETON 1,M,503,6,674,6,5,6,6,7,10,6,6,
CORTEZ MIDDLE SCHOOL,2035,MONTEZUMA-CORTEZ RE-1,M,1888,6,674,5,4,5,6,9,9,8,9,
COTTONWOOD ELEMENTARY SCHOOL,2180,MONTROSE COUNTY RE-1J,E,1915,6,674,7,8,6,7,6,7,6,6,
ASPEN CREEK K-8 SCHOOL,480,BOULDER VALLEY RE 2,M,441,6,680,9,6,9,10,6,7,6,5,
RUNNING CREEK ELEMENTARY SCHOOL,920,ELIZABETH C-1,E,7517,6,680,9,9,9,7,6,6,6,7,
GILPIN COUNTY UNDIVIDED HIGH SCHOOL,1330,GILPIN COUNTY RE-1,M,1634,6,680,6,6,6,12,6,5,10,6,
GRANADA UNDIVIDED HIGH SCHOOL,2650,GRANADA RE-1,M,3546,6,680,6,5,7,4,6,5,6,5,
APPLETON ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,262,6,680,8,7,7,7,6,6,3,10,
KEARNEY MIDDLE SCHOOL,30,ADAMS COUNTY 14,M,4516,6,685,5,5,5,5,9,7,12,7,
BYERS JUNIOR-SENIOR HIGH SCHOOL,190,BYERS 32J,M,1176,6,685,6,6,6,6,5,1,6,6,
ELLIS ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,2652,6,685,3,6,3,3,10,10,9,9,
HEMPHILL MIDDLE SCHOOL,60,STRASBURG 31J,M,8332,6,685,6,4,7,6,7,7,6,10,
TIMBERVIEW MIDDLE SCHOOL,1040,ACADEMY 20,M,8851,6,689,9,6,9,9,6,6,6,6,
GLOBAL VILLAGE ACADEMY,180,ADAMS-ARAPAHOE 28J,E,3471,6,689,5,6,5,3,9,7,9,9,
GLOBAL VILLAGE ACADEMY,180,ADAMS-ARAPAHOE 28J,M,3471,6,689,6,2,5,,6,9,6,8,
FOUNTAIN MIDDLE SCHOOL,1000,FOUNTAIN 8,M,3106,6,689,7,6,7,9,6,7,6,6,
STRAWBERRY PARK ELEMENTARY SCHOOL,2770,STEAMBOAT SPRINGS RE-2,E,8358,6,689,10,10,10,9,6,6,6,5,
PRAIRIE MIDDLE SCHOOL,130,CHERRY CREEK 5,M,7158,6,694,5,5,6,6,9,7,9,7,
DENVER CENTER FOR INTERNATIONAL STUDIES,880,DENVER COUNTY 1,M,2183,6,694,9,6,9,9,5,6,3,6,
SOUTH VALLEY MIDDLE SCHOOL,3080,WELD COUNTY RE-1,M,7058,6,694,6,5,6,6,9,6,10,9,
MOUNTAINSIDE ELEMENTARY SCHOOL,1000,FOUNTAIN 8,E,6138,6,697,6,6,6,6,6,5,7,8,
GRAND MESA MIDDLE SCHOOL,2000,MESA COUNTY VALLEY 51,M,3584,6,697,6,5,6,6,8,6,9,7,
ARICKAREE ELEMENTARY SCHOOL,3040,ARICKAREE R-2,E,304,6,699,10,11,10,9,6,6,6,5,
CASTLE ROCK MIDDLE SCHOOL,900,DOUGLAS COUNTY RE 1,M,2226,6,699,9,6,9,9,6,5,6,6,
KEN CARYL MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,M,4548,6,699,8,7,9,9,6,3,8,5,
LOCHBUIE ELEMENTARY SCHOOL,3090,KEENESBURG RE-3(J),E,3090,6,699,6,7,6,6,6,7,5,8,
MANITOU SPRINGS ELEMENTARY SCHOOL,1030,MANITOU SPRINGS 14,E,5460,6,699,9,7,7,9,6,6,6,6,
ORCHARD AVENUE ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,6554,6,699,9,10,7,9,5,6,3,6,
RIDGEVIEW CLASSICAL CHARTER SCHOOLS,1550,POUDRE R-1,E,146,6,699,10,6,7,9,6,5,7,6,
COLUMBINE ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,1844,6,699,5,5,5,4,9,12,7,6,
EAGLEVIEW MIDDLE SCHOOL,1040,ACADEMY 20,M,2358,6,707,9,6,9,9,7,7,6,8,
CENTURY ELEMENTARY SCHOOL,180,ADAMS-ARAPAHOE 28J,E,1470,6,707,5,6,5,4,6,6,9,6,
ASPEN CREEK K-8 SCHOOL,480,BOULDER VALLEY RE 2,E,441,6,707,9,9,9,8,6,5,9,3,
NORTH ELEMENTARY SCHOOL,40,BRIGHTON 27J,E,6294,6,707,3,6,4,3,9,10,6,9,
MANDALAY MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,M,5454,6,707,6,6,7,7,6,5,7,5,
PAWNEE ELEMENTARY SCHOOL,3148,PAWNEE RE-12,E,3672,6,707,7,9,8,6,7,7,6,8,
DELTA VISION SCHOOL,870,DELTA COUNTY 50(J),E,2166,6,713,6,6,6,,5,5,6,3,
DELTA VISION SCHOOL,870,DELTA COUNTY 50(J),M,2166,6,713,6,5,6,,9,9,7,12,
GRANDVIEW ELEMENTARY SCHOOL,3100,WINDSOR RE-4,E,55,6,713,9,9,9,9,6,6,5,6,
KENNETH P MORRIS ELEMENTARY SCHOOL,3200,YUMA 1,E,9795,6,713,6,7,6,6,6,6,9,5,
CORRIDOR COMMUNITY ACADEMY,50,BENNETT 29J,E,1889,6,717,6,8,7,9,6,6,6,5,
CORRIDOR COMMUNITY ACADEMY,50,BENNETT 29J,M,1889,6,717,7,6,7,5,9,7,9,9,
SANBORN ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,7584,6,717,6,6,6,7,6,6,5,9,
BAYFIELD MIDDLE SCHOOL,1530,BAYFIELD 10 JT-R,M,636,6,720,9,6,9,7,6,6,6,8,
MANHATTAN MIDDLE SCHOOL OF THE ARTS AND ACADEMICS,480,BOULDER VALLEY RE 2,M,1136,6,720,8,6,9,8,7,7,6,8,
MOREY MIDDLE SCHOOL,880,DENVER COUNTY 1,M,6098,6,720,7,6,8,6,6,6,6,6,
SIERRA MIDDLE SCHOOL,900,DOUGLAS COUNTY RE 1,M,6773,6,720,9,6,9,9,6,5,7,6,
SPRINGS RANCH ELEMENTARY SCHOOL,1110,FALCON 49,E,8010,6,720,8,9,8,6,6,8,6,6,
JORDAHL ELEMENTARY SCHOOL,1000,FOUNTAIN 8,E,4474,6,720,8,9,8,9,6,6,6,6,
